probe_id,times_selected,mean_importance,median_importance,mean_rank,best_rank,selection_frequency_pct,gene_symbol
217938_s_at,13,0.00022672986,0.0,177.23076923076923,65,65.0,KCMF1
218497_s_at,13,0.0,0.0,172.46153846153845,62,65.0,RNASEH1
220865_s_at,13,0.00023614489,0.0,115.92307692307692,54,65.0,PDSS1
209342_s_at,13,0.002621446,0.0,171.92307692307693,29,65.0,IKBKB
204023_at,13,0.00018847914,0.0,198.0,57,65.0,RFC4
212022_s_at,13,0.006971025,0.0,206.30769230769232,10,65.0,MKI67
214772_at,13,0.007543361,0.0,125.07692307692308,18,65.0,KIAA1549L
200810_s_at,13,0.0019364365,0.0,148.30769230769232,37,65.0,CIRBP
234222_at,13,0.0,0.0,149.23076923076923,68,65.0,
200811_at,13,0.0020255593,0.0,151.92307692307693,35,65.0,CIRBP
235956_at,13,0.0018995987,0.0,111.15384615384616,43,65.0,CEP126
204641_at,13,0.0,0.0,214.0,155,65.0,NEK2
204862_s_at,13,0.004895612,0.0,127.23076923076923,23,65.0,NME3
223700_at,13,0.03922639,0.0,101.07692307692308,1,65.0,MND1
225330_at,12,0.0,0.0,139.91666666666666,71,60.0,IGF1R
203380_x_at,12,0.011554919,0.0075941104,70.33333333333333,19,60.0,SRSF5
236496_at,12,0.0,0.0,146.58333333333334,69,60.0,DEGS2
213441_x_at,12,0.00044635442,0.0,228.33333333333334,49,60.0,SPDEF
202954_at,12,0.026036708,0.010613609,76.08333333333333,5,60.0,UBE2C
209173_at,12,0.002553517,0.0,172.16666666666666,24,60.0,AGR2
232278_s_at,12,0.0,0.0,163.25,75,60.0,DEPDC1
237339_at,12,0.0037531226,0.0,150.91666666666666,18,60.0,LINC00993
205448_s_at,12,0.0030631053,0.0,158.0,21,60.0,MAP3K12
205201_at,12,0.0006175954,0.0,193.91666666666666,42,60.0,GLI3
212970_at,11,0.0,0.0,240.27272727272728,138,55.0,APBB2
